prov,year,provyear,SEXO,NED,EDAD,quintil,household_income,presidente,gobernador,soct2r,idio2r,atrib_respon,pol1b,aprobacion,aprobaciong,local_income,desempleo,desempleo2,desempleo3,dependencia,industrializacion,pbgpm,pbgnac,pbgdif,pbggw,pbggw2,pbggw3,pbggw4,tfpc,dependencia_fiscal1,dependencia_fiscal2,dependencia_fiscal_cat_1,dependencia_fiscal_cat_2,dependencia_fiscal_ratio1,dependencia_fiscal_ratio2,dependencia_fiscal_cat_ratio1,dependencia_fiscal_cat_ratio2,ideo,partyidgober,partyidpresi,copartisan,fpv,ofi,meses,desempleo1,peronista,NED_z,EDAD_z,desempleo_z,desempleo2_z,desempleo3_z,industrializacion_z,dependencia_fiscal1_z,dependencia_fiscal2_z,dependencia_fiscal_ratio1_z,dependencia_fiscal_ratio2_z,pbgpm_z,pbggw_z,pbggw2_z,pbggw3_z,pbggw4_z,pbgdif_z,tfpc_z,local_income_z
Chaco,2012,Chaco 2012,Hombre,7,36,1,3,0,1,2,1,0,NA,5,4,8.73,-0.5,2.029520295202952,-5.070479704797048,1,13.33,7.707549218,14.019744566649893,-6.312195348649893,-8.88770053475936,-9.9308987747282,2.367827317,0.008151510421,0.9557822113,9.54,8.66,1,1,0.1688377903,0.1531629145,1,1,10,NO,NO,SI,1,1,5,-11.76,Yes,-0.9150172631544907,-0.34199026171937064,-0.46089484471084646,-1.9116223023337187,-1.612889301974997,-1.263234963261439,-1.43835217389423,-1.5221640106592698,-0.633947315801491,-0.6441119557006192,-0.7377000353124894,-2.2283264654338555,-2.2439470706395155,0.6597738959948428,-0.11636192034740046,-0.7593615132260444,1.5535757972148576,-1.7980838614603518
Santiago del Estero,2012,Santiago del Estero 2012,Hombre,2,79,1,3,NA,NA,2,2,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NO,SI,1,1,39,66.89972595039002,Yes,-2.231102189502792,2.1233026419145173,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Hombre,5,26,1,3,1,1,2,2,0,NA,5,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NO,SI,1,1,39,66.89972595039002,Yes,-1.4414512336938112,-0.915314192797019,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Mujer,10,20,1,NA,1,1,NA,3,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NA,SI,1,1,39,66.89972595039002,Yes,-0.12536630734550988,-1.259308551443608,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Mujer,7,26,1,3,NA,NA,3,3,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,8,NO,NA,SI,1,1,39,66.89972595039002,Yes,-0.9150172631544907,-0.915314192797019,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Chaco,2012,Chaco 2012,Hombre,4,33,1,2,NA,NA,2,2,0,NA,4,4,8.73,-0.5,2.029520295202952,-5.070479704797048,1,13.33,7.707549218,14.019744566649893,-6.312195348649893,-8.88770053475936,-9.9308987747282,2.367827317,0.008151510421,0.9557822113,9.54,8.66,1,1,0.1688377903,0.1531629145,1,1,NA,NO,NO,SI,NA,NA,5,-11.76,Yes,-1.7046682189634714,-0.5139874410426651,-0.46089484471084646,-1.9116223023337187,-1.612889301974997,-1.263234963261439,-1.43835217389423,-1.5221640106592698,-0.633947315801491,-0.6441119557006192,-0.7377000353124894,-2.2283264654338555,-2.2439470706395155,0.6597738959948428,-0.11636192034740046,-0.7593615132260444,1.5535757972148576,-1.7980838614603518
Santiago del Estero,2012,Santiago del Estero 2012,Hombre,5,58,1,3,NA,NA,NA,1,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NA,SI,NA,NA,39,66.89972595039002,Yes,-1.4414512336938112,0.9193223866514558,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Hombre,3,67,1,3,1,NA,3,3,0,NA,5,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NA,SI,1,1,39,66.89972595039002,Yes,-1.9678852042331318,1.4353139246213393,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Mujer,7,28,1,3,NA,NA,3,2,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,9,NO,NO,SI,1,1,39,66.89972595039002,Yes,-0.9150172631544907,-0.8006494065814893,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
Santiago del Estero,2012,Santiago del Estero 2012,Hombre,9,18,1,3,1,NA,2,2,0,NA,4,4,11.11,3.5855988520660373,7.669172932330827,0.5691729323308277,1,11.96,9.097546534,14.019744566649893,-4.922198032649893,-7.991895542548402,-8.982651534419048,3.75676506,-0.01016583566,0.9721639172,8.43,9.74,1,1,0.1211983655,0.1223220789,1,1,NA,NO,NA,SI,NA,NA,39,66.89972595039002,Yes,-0.38858329261517016,-1.3739733376591377,1.8450335743125144,0.18558452049111498,0.4377889632178623,-1.412216521489787,-1.5034640892489808,-1.4587191356923017,-0.6584647718927635,-0.6598623823347146,-0.5734574996428458,-2.0015271191780553,-2.002140563842869,1.631809606341233,-0.89787220107315,-0.5951193132708773,1.607858803195725,-1.5547526814453936
